"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"GO:0002250"	"adaptive immune response"	2.67060293262301e-33	2.90908777450624e-29	2.6604307835778	0.52197955765036	444	"Lag3, Cd8a, Cd3d, Il21r, Gzmb, Pdcd1, Cd244a, Prf1, Ifng, Klrd1, Fas, Cd7, Tbx21, Irf1, H2-M5, Was, Prkcb, Cd3g, Txk, Cd3e, H2-Eb2, Slamf7, Il18bp, Serpina3g, C8g, Serping1, Fgl2, H2-Eb1, Myo1g, Xcl1, Cd274, Tnf, Cd86, Irf4, Tnfrsf14, H2-T24, Eomes, Cd160, Ifna16, Ifnk, Slc11a1, Il12rb1, Cd8b1, Bcl6, Pdcd1lg2, Arid5a, Cd247, H2-DMa, H2-T23, Ptprc, C4b, Themis, Pirb, Rnf19b, Il17a, Tnfrsf13b, Nlrp10, Fcer1g, Samsn1, Cd48, Adgre1, Serpinb9b, Bcl3, Nod2, Pycard, Spn, Fcgr1, Sh2d1a, Tnfrsf1b, Gm11127, Tnfrsf11a, Camk4, Nfkbid, Vsir, Serpinb9, Il27ra, Sash3, Irf7, Il17f, Tnfsf18, Lyn, Btk, Il7r, Rftn1, Mcoln1, Tap2, H2-DMb2, C1qc, Cfi, Syk, Nckap1l, Il27, Tap1, Batf, H2-Ab1, Icam1, C1ra, Apcs, Gzmm, C1qa, Lat, Tarm1, Lat2, Il9, Nfkbiz, Nlrp3, Cd79b, H2-Aa, H2-M2, Parp3, C3ar1, Il18, Ptpn6, Pkn1, Dbnl, Unc93b1, Il4ra, Lax1, Crlf2, Itk, Treml4, Ephb2, Il18rap, Zp3, Kdm5d, Lilrb4b, Trp53bp1, Unc13d, C1rb, Gm13271, Inpp5d, Cd40, Lilrb4a, Prkd2, Ctsc, C1qb, Il1b, H2-M3, Susd4, Cr2, Tgfb1, Crp, Sla2, Slamf6, Ptk2b, Fadd, Ifnz, Gm7030, C2, C3, H2-Q1, Relb, Ifna2, Ifna6, Ccr7, Erap1, H2-T10, Klrk1"
"GO:0002443"	"leukocyte mediated immunity"	7.30147586534704e-29	3.97674883006127e-25	2.56349026747262	0.502958761053216	434	"Lag3, Cd8a, Klrc1, Dnase1l3, Il21r, Gzmb, Prf1, Ifng, Nkg7, Clec2d, Klrd1, Rac2, Fas, Tbx21, Slamf9, Stap1, H2-M5, Tyrobp, Tlr9, Was, Chga, H2-Eb2, C8g, Serping1, Fgl2, Myo1f, H2-Eb1, Myo1g, Xcl1, Tnf, Itgb2, H2-T24, Cd160, Itgam, Slc11a1, Fgr, Bcl6, Arid5a, H2-DMa, H2-T23, Ccl2, Spi1, Ptprc, C4b, Klrb1c, Pirb, Rnf19b, Fcer1g, Klrb1b, Serpinb9b, Bcl3, Nod2, Spn, Fcgr1, Sh2d1a, Scimp, Klre1, Tnfrsf1b, Gm11127, Vsir, Serpinb9, Il27ra, Sash3, Irf7, Lyn, Btk, Il7r, Rftn1, Tap2, Klri1, H2-DMb2, C1qc, Cfi, Syk, Foxf1, Nckap1l, Tap1, Nr4a3, Batf, H2-Ab1, Icam1, C1ra, Apcs, Gzmm, C1qa, Lat, Gata1, Lat2, Il9, Nlrp3, Nppc, H2-Aa, Igf2, Fes, H2-M2, Parp3, Il18, Ptpn6, Pi4k2a, Il4ra, Pomc, Tlr3, Crlf2, Treml4, Klri2, Nppa, Il18rap, Zp3, Clnk, Kdm5d, Vav1, Lilrb4b, Trp53bp1, Unc13d, C1rb, Inpp5d, Cd40, Lilrb4a, Ticam1, Coro1a, Stxbp2, Ctsc, C1qb, Il1b, H2-M3, Susd4, Cr2, H60c, Milr1, Tgfb1, Crp, Plcg2, Slamf6, Fadd, Gm7030, Vamp8, C2, C3, H2-Q1, Cplx2, Abr, Cd96, H2-T10, Sphk2, Klrk1, Mrgpra5, Mrgpra9, Ncf1, Il25, Il21, Itgb2l, Mrgpra7, Fut7, 6030468B19Rik, Icosl, Cd28, Ripk3, C8a, C1rl, Trem1, Ms4a2"
"GO:0002683"	"negative regulation of immune system process"	2.30258969733486e-24	8.36070319102288e-21	2.45091976085138	0.480940948304976	432	"Lag3, Nr1h3, Lst1, Socs1, Pdcd1, Ifng, Clec2d, Acod1, Klrd1, Fas, Pilrb1, Tbx21, Irf1, Pglyrp1, Stap1, Tyrobp, Ido1, Gpr17, Ubash3a, Cx3cl1, Oas3, Serping1, Fgl2, Ccl12, Cd274, Tnf, Cd86, Dhx58, Cd80, Pparg, Tnfrsf14, Runx3, Cd160, Stat2, Fgr, Bcl6, Pdcd1lg2, Cd37, Fcrl5, Thy1, Tapbpl, Calca, Sox9, Ccl2, Spi1, Ptprc, Btnl2, Cd68, Trafd1, Il10, Angpt1, Npy, Tnfrsf13b, Fcer1g, Cd22, Clec2i, Samsn1, Klrb1b, Serpinb9b, Gcsam, Nod2, Parp14, Tigit, Spn, Cst7, Sh2d1a, Ifi207, Klre1, Nfkbid, Trim21, Vsir, Serpinb9, Laptm5, Il27ra, Axl, Slamf8, Tnfsf18, Lyn, Btk, Il7r, Ptpn22, Oas1g, Tap2, C1qc, Npy5r, Grem1, Foxf1, Nckap1l, Ripor2, Tap1, H2-Ab1, Apcs, Mmp28, Tarm1, H2-Aa, Igf2, Parp3, Ptpn6, Pkn1, Cd200r1, Il4ra, Lax1, Tob2, Scgb1a1, Adar, Clnk, Lilrb4b, Inpp5d, Isg15, Pglyrp4, Ifi204, Lilrb4a, Runx1, Rhbdd3, Btn1a1, Susd4, Cr2, Cblb, Samhd1, Milr1, Tgfb1, Dgkz, Sla2, Twsg1, Lrfn5, Oas1a, Fadd, Clec2g, Rag2, Elf1, Tnfrsf11b"
"GO:0002764"	"immune response-regulating signaling pathway"	8.62455218137016e-24	2.34868117279163e-20	2.47332402785769	0.494577636380109	369	"Nr1h3, Cd8a, Lcp2, Klrc1, Ifng, Acod1, Klrd1, Cd180, Slc15a3, Themis2, Irf1, Stap1, Tyrobp, Tlr9, Prkcb, Txk, Fyb, Cd3e, Ubash3a, Igtp, Oas3, Myo1g, Casp1, Cd86, Dhx58, Fpr1, Irf4, Fyb2, Tasl, Cd160, Pik3ap1, Fcrl5, Cd247, Thy1, Tlr8, Nfam1, Ptprc, Btnl2, Themis, Nfatc2, Ms4a1, Rab7b, Fcer1g, Ffar2, Tlr12, Cd22, Clec2i, Card11, Ermap, Gcsam, Nod2, Nod1, Sh2d1a, Scimp, Klre1, Lrrc19, Cyba, Nfkbid, Laptm5, Irf7, Prkch, Rab29, Carmil2, Lyn, Btk, Rftn1, Ptpn22, Ltf, Oas1g, Klri1, Syk, Skint3, Nckap1l, Rnf135, Nr4a3, Lat2, Irgm1, Nfkbiz, Bcl2a1d, Cd79b, Gpr108, C3ar1, Rnf31, Ptpn6, Unc93b1, Shb, Vav3, Lax1, Tlr3, Tlr11, Mog, Itk, Ifi35, Treml4, Klri2, Lilrb4b, Prkce, Cd40, Rbck1, Lilrb4a, Ticam1, Prkd2, Btn1a1, Cblb, Dab2ip, Hspa1a, Dgkz, Sla2, Plcg2, Oas1a, Elf1, Irf3, Tespa1, Irak2, Btnl9, Plscr1, Ccr7, Lacc1"
"GO:0002449"	"lymphocyte mediated immunity"	3.80337156700838e-23	7.30737344638631e-20	2.54009334365532	0.516699363136219	317	"Lag3, Cd8a, Klrc1, Il21r, Gzmb, Prf1, Ifng, Nkg7, Clec2d, Klrd1, Fas, Tbx21, H2-M5, Was, H2-Eb2, C8g, Serping1, Fgl2, H2-Eb1, Myo1g, Xcl1, Tnf, H2-T24, Cd160, Slc11a1, Bcl6, Arid5a, H2-DMa, H2-T23, Ptprc, C4b, Klrb1c, Pirb, Rnf19b, Fcer1g, Klrb1b, Serpinb9b, Bcl3, Nod2, Spn, Fcgr1, Sh2d1a, Klre1, Tnfrsf1b, Gm11127, Vsir, Serpinb9, Il27ra, Sash3, Irf7, Btk, Il7r, Rftn1, Tap2, Klri1, H2-DMb2, C1qc, Cfi, Nckap1l, Tap1, Batf, H2-Ab1, Icam1, C1ra, Apcs, Gzmm, C1qa, Il9, Nlrp3, H2-Aa, Igf2, H2-M2, Parp3, Il18, Ptpn6, Il4ra, Crlf2, Treml4, Klri2, Il18rap, Zp3, Clnk, Kdm5d, Vav1, Lilrb4b, Trp53bp1, Unc13d, C1rb, Inpp5d, Cd40, Lilrb4a, Coro1a, Ctsc, C1qb, Il1b, H2-M3, Susd4, Cr2, H60c, Tgfb1, Crp, Slamf6, Fadd, Gm7030, C2, C3, H2-Q1"
"GO:0051249"	"regulation of lymphocyte activation"	4.02499225909464e-23	7.30737344638631e-20	2.35730284664324	0.45969722804522	455	"Lag3, Lst1, Klrc1, Socs1, Ikzf3, Cd244a, Ifng, Ikzf1, Rac2, Fas, Il2rg, Aif1, Themis2, Tbx21, Irf1, Pglyrp1, Tyrobp, Tlr9, Ido1, Cd3e, H2-Eb2, Slamf7, Ccl5, Itgal, Fgl2, Tox, H2-Eb1, Xcl1, Cd274, Cd86, Cd80, Tnfrsf14, Runx3, Cd160, Il12rb1, Fgr, Bcl6, Pdcd1lg2, Thy1, H2-DMa, Nfam1, Ccl2, Ptprc, Btnl2, Il10, Nfatc2, Tnfrsf13b, Cd22, Clec2i, Samsn1, Card11, Ccdc88b, Gm5150, Cd5, Tnfsf14, Il15ra, Nod2, Pycard, Tigit, Spn, Tnfrsf1b, Nfkbid, Vsir, Znhit1, Laptm5, Il27ra, Axl, Slamf8, Sash3, Tnfsf18, Carmil2, Lyn, Btk, Il7r, Ptpn22, H2-DMb2, Syk, Nckap1l, Ripor2, Il27, H2-Ab1, Flt3l, Lat, Tarm1, Nfkbiz, Il7, Nlrp3, H2-Aa, Igf2, Parp3, Il18, Ptpn6, Pkn1, Shb, Il4ra, Vav3, Lax1, Scgb1a1, Ephb2, Zp3, Clnk, Lilrb4b, Trp53bp1, Inpp5d, Cd40, Rhoh, Pglyrp4, Lilrb4a, Ticam1, Coro1a, Runx1, Rhbdd3, Hps1, Zfp36l1, Il1b, Tcf7, Btn1a1"
"GO:0002253"	"activation of immune response"	2.24542271067319e-22	3.49419851248043e-19	2.54401566996951	0.521699630151651	295	"Cd8a, Lcp2, Klrc1, Ifng, Klrd1, Themis2, Trim30d, Stap1, Tyrobp, Tlr9, Prkcb, Txk, Fyb, Cd3e, Ubash3a, Cfp, C8g, Serping1, Myo1g, Fpr1, Fyb2, Cd160, Fcrl5, Cd247, Thy1, Cfb, Nfam1, Ptprc, Btnl2, C4b, Themis, Ifi208, Nfatc2, Ms4a1, Fcer1g, Ffar2, Cd22, Clec2i, Card11, Ifi214, Ifi203, Ermap, Gcsam, Nod2, Pycard, Sh2d1a, C4a, Ifi207, Klre1, Zbp1, Nfkbid, Laptm5, Prkch, Rab29, Carmil2, Lyn, Btk, Rftn1, Ptpn22, Klri1, C1qc, Ifi209, Cfi, Syk, Skint3, Nckap1l, Nr4a3, C1ra, Apcs, Trim12c, C1qa, Lat2, Znfx1, Nfkbiz, Bcl2a1d, Cd79b, C3ar1, Rnf31, Ptpn6, Shb, Vav3, Lax1, Mog, Mndal, Itk, Klri2, Cfhr2, Lilrb4b, C1rb, Rbck1, Ifi204, Lilrb4a, Ifi211, Prkd2, C1qb, Il1b, Btn1a1, Susd4, Cr2, Cblb, Crp, Dgkz, Sla2, Plcg2, C2, Elf1, C3, Tespa1, Btnl9, Plscr1, Ccr7"
"GO:0002697"	"regulation of immune effector process"	3.59558709184336e-22	4.89584127393121e-19	2.38498311298757	0.474284407776966	395	"Lag3, Klrc1, Dnase1l3, Cd244a, Ifng, Clec2d, Klrd1, Rac2, Tbx21, Irf1, Pglyrp1, Stap1, H2-M5, Tyrobp, Tlr9, Was, Serping1, Fgl2, Xcl1, Tnf, Cd86, Dhx58, Itgb2, Tnfrsf14, H2-T24, Cd160, Itgam, Fgr, Bcl6, Cd37, Arid5a, H2-T23, Ccl2, Spi1, Ptprc, Klrb1c, Il10, Angpt1, Il17a, Fcer1g, Ffar2, Cd22, Klrb1b, Serpinb9b, Nod2, Sema7a, Spn, Fcgr1, Sh2d1a, Scimp, Klre1, Tnfrsf1b, Gm11127, Nfkbid, Vsir, Serpinb9, Laptm5, Il27ra, Slamf8, Sash3, Il17f, Tnfsf18, Lyn, Il7r, Ptpn22, Tap2, Klri1, H2-DMb2, Cfi, Syk, Foxf1, Nckap1l, Il27, Tap1, Nr4a3, Gata1, Nfkbiz, Nlrp3, Nppc, Igf2, Fes, H2-M2, Parp3, Il18, Ptpn6, Pkn1, Shb, Il4ra, Pomc, Tlr3, Klri2, Ephb2, Nppa, Cfhr2, Il18rap, Zp3, Clnk, Vav1, Lilrb4b, Trp53bp1, Unc13d, Cd40, Pglyrp4, Lilrb4a, Ticam1, Stxbp2, Il1b, H2-M3, Susd4, Cr2, H60c, Tgfb1, Plcg2, Slamf6, Fadd, Gm7030, Vamp8, C3, H2-Q1, Ccr7, Lacc1, Abr, Cd96, H2-T10, Sphk2, Klrk1, Ncf1, Rps19, Il21, Itgb2l, Tnfrsf4"
"GO:1903131"	"mononuclear cell differentiation"	1.97819079720011e-21	2.39427026154453e-18	2.31786005408979	0.45227978629451	454	"Ubd, Batf2, Lag3, Cd8a, Socs1, Cd3d, Ikzf3, Ifng, Ikzf1, Fas, Il2rg, Tbx21, Slamf9, Irf1, Pglyrp1, Tlr9, Cd3g, Txk, Cd3e, Tnfsf8, Batf3, Fgl2, Tox, Gimap1, Irf4, Pparg, Eomes, Runx3, Ifna16, Ifnk, Bcl6, H2-DMa, Lfng, Nfam1, Spi1, Csf1, Ptprc, Themis, Pirb, Il10, Pou2af1, Ms4a1, Fcer1g, Card11, Bcl3, Il15ra, Adgrg3, Spn, Bak1, Ifi207, Camk4, Nfkbid, Vsir, Laptm5, Axl, Slamf8, Sash3, Tnfsf18, Carmil2, Lyn, Btk, Il7r, Prex1, Ptpn22, Syvn1, Il3ra, Syk, Nckap1l, Il27, Batf, H2-Ab1, Irf8, Apcs, Flt3l, Gata1, Hdac7, Il9, Dock2, Nfkbiz, Il7, Runx2, Dcstamp, Nlrp3, Bcl2a1d, Cd79b, H2-Aa, Fes, Il18, Ptpn6, Hhex, Shb, Il4ra, Itk, Vav1, Lilrb4b, Gm13271, Inpp5d, Rhoh, Pglyrp4, Ifi204, Lilrb4a, Runx1, Zfp36l1, Il1b, Tcf7, Cr2, Prtn3, Tgfb1, Sos2, Plcg2, Slamf6, Ptk2b, Fadd, Cd83, Ifnz, Rag2, Pou1f1, Nfatc1, Tespa1, Relb, Ifna2, Ifna6, Ccr7, Scart2, Pbx1, Gpr18, Satb1, Srf, Ifna7, Il21, Wnt1, Fut7, Cmtm7, Psmb11, 6030468B19Rik, Cd28, Hs1bp3, Ripk3, Il6ra, Btnl1, Ifna4"
"GO:0002831"	"regulation of response to biotic stimulus"	2.34215698130438e-21	2.55131159973486e-18	2.4113963304216	0.483641736172149	353	"Lag3, Klrc1, Socs1, Ifng, Clec2d, Acod1, Klrd1, Cd180, Dapk1, Trim30d, Irf1, Tyrobp, Tlr9, Txk, Igtp, Ccl5, Cx3cl1, Oas3, Serping1, Fgl2, Myo1f, Xcl1, Cd274, Dhx58, Pparg, Tasl, Cd160, Stat2, Il12rb1, Fgr, Cd37, Tlr8, Gbp4, Spi1, Klrb1c, Trafd1, Ifi208, Il17a, Nlrp10, Ffar2, Ifi214, Klrb1b, Serpinb9b, Ifi203, Nod2, Pycard, Parp14, Nod1, Spn, Sh2d1a, Scimp, Ifi207, Klre1, Cyba, Zbp1, Trim21, Serpinb9, Slamf8, Irf7, Il17f, Ptpn22, Ltf, Oas1g, Tap2, Klri1, Ifi209, Cfi, Apobec3, Syk, Il27, Tap1, Rnf135, Trim12c, Trim56, Irgm1, Znfx1, Unc13b, Igf2, Stat1, Rnf31, Pomc, Mndal, Dtx3l, Ifi35, Treml4, Ly86, Klri2, Adar, Il18rap, Clnk, Vav1, Pml, Tarbp2, Isg15, Ifi204, Ifi211, Parp9, Il1b, H2-M3, Susd4, Htra1, Ikbke, Samhd1, H60c, Plcg2, Slamf6, Oas1a, Fadd, Irf3, C3"
