"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"R-MMU-6809371"	"Formation of the cornified envelope"	1.91412885380051e-15	3.00135404275921e-12	-2.72334458082557	-0.673730696792546	77	"Klk13, Dsc1, Stfa3, Krt20, Krt80, Krt34, Krt23, Jup, Ppl, Perp, Krt16, Dsc3, Krt2, Spink5, Krt79, Krt86, Krt15, Cdsn, Dsg1a, Pkp1, Krt14, Dsp, Krt5, Krt1, Krt77, Krt10"
"R-MMU-68877"	"Mitotic Prometaphase"	1.5610842392165e-11	1.22389004354574e-08	-2.24166205340208	-0.485533361641576	182	"Cenpq, Cep72, Cep192, Nde1, Pds5b, Csnk1d, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Tubb5, Cep63, Tuba1c, Smc2, Haus4, Prkar2b, Sgo1, Ppp1cc, Cenpp, Alms1, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Pcnt, Dync1li1, Sec13, Cep290, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Cdk1, Incenp, Cdca5, Wapl, Bub3, Ppp2r1b, Cep78, Spc25, Bub1, Ncaph, Itgb3bp, Smc1a, Plk4, Ppp2r5c, Csnk1e, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubgcp6, Tubb4b, Cdca8, Cep57, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Ccnb2, Xpo1, Ndc80, Cenpi, Haus1, Ncapg, Zw10, Ccnb1, Cenpo, Zwilch, Cep135, Nup107, Tubb4a, Haus6, Haus2, Mad2l1, Nedd1, Ofd1, Cdc20, Cenpu, Ccp110, Nek2, Ercc6l, Tuba8, Nuf2, Tubgcp5, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-198933"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	2.91202317494865e-11	1.52201744610649e-08	2.49372775063077	0.596272634153297	91	"Cd300e, Cd8a, Cd3d, Fcgr4, Pilra, H2-M5, Cd3g, Cd3e, Slamf7, Itgal, Itgb2, Cd8b1, Cd247, Siglece, H2-T23, Siglec1, Treml1, Icam4, Cd22, Cd300c2, Icam2, Gm11127, Hcst, Icam1, H2-M2, Lair1, Treml4, Treml2, Cd40, H2-M3, Col1a1, Slamf6, Gm7030, Siglecf, C3, H2-Q1, Kir3dl2, Cd96, Klrk1, Ifitm1, Pianp, Trem1, Cd34, Npdc1, H2-Q4, Ifitm2, Gm8909, Col1a2, Itgb7, Cd300a, Cd300lb, Ifitm3"
"R-MMU-69278"	"Cell Cycle, Mitotic"	1.42927168310451e-10	5.60274499776967e-08	-1.85101883048924	-0.359015141143764	475	"Nde1, Pds5b, Csnk1d, Mapk1, Taok1, Rfc2, Nup37, Gorasp2, Pold4, Psma6, Psmb7, Nup93, Rab1a, Psmd8, Anapc16, Cenpe, Bub1b, Cdk2, Ndel1, Gins4, Ppp2r1a, Psmd9, Ncaph2, Mcm10, Tubb5, Vrk1, Cep63, Tuba1c, Cdk11b, Smc2, Cdkn1c, Anapc7, Haus4, Ncapg2, Ube2s, Ccne1, Anapc4, Lin54, Cdkn1a, Prkar2b, Sgo1, Ppp1cc, Psme3, Spast, Cenpp, Orc3, Rfc3, Chmp7, Alms1, Rcc1, Cenpk, H2ax, Dna2, Ppp2cb, Gmnn, Ska1, Psma1, Lig1, Lbr, Clasp1, Nup160, Mis12, Pcnt, Mcm8, H4f16, Mcm2, Cdk6, Dync1li1, Anapc5, Sec13, Prim1, Cep290, Ndc1, Psmd10, Cdc25a, Psmd7, Aurkb, Cdc27, Nup85, Spdl1, Gtse1, Rcc2, Sgo2a, Seh1l, Cdk1, Pcna, Kpnb1, Cdt1, Incenp, Ajuba, Orc2, Cdca5, Nup155, Psma4, Wapl, Esco1, Psmd13, Anapc1, Rab2a, Lin52, Ccnh, Bub3, Cdk7, Ppp2r1b, Psmc6, Cep78, Ppp2r2a, H2ab3, H2az1, Spc25, Bub1, Ncaph, Pold2, Rae1, Cdc14a, Pole3, Cnep1r1, Mcm4, Nup50, Itgb3bp, Smc1a, Plk4, Ppp2r5c, Csnk1e, Ranbp2, Rfc4, Ska2, Cdc6, Tubb6, Tubb2b, Mapre1, Gins3, Tubgcp6, Tubb4b, Cdca8, Psmc4, Psme4, Lmnb1, Ankle2, Cep57, Tuba3b, Tuba4a, Ppp2r5a, Mcph1, Cenpa, Blzf1, Ccnb2, Aurka, Orc1, Xpo1, Ndc80, Cenpi, Haus1, Nup88, Ncapg, Zw10, Psmd14, Mcm3, Ccnb1, Psma3, Psmd1, Lpin1, Wee1, Cenpo, Prkca, Cdc16, Zwilch, Tpx2, Cdc26, Cep135, Nup107, Tubb4a, Haus6, E2f5, Haus2, Cdc7, Cul1, Nupl2, Orc4, Mad2l1, Dbf4, Ncapd3, Kif23, Psmd12, Prim2, Nedd1, Ofd1, Cdc20, Pold1, Cenpu, Gins1, Ccp110, Psmd6, Ptk6, Nek2, Hmmr, Ercc6l, Tuba8, Cdc45, Kif20a, Nuf2, Tubgcp5, Nup43, Cdc25c, Cenpc1, Kif18a, Esco2, Cenpn, Cenpf, Mastl"
"R-MMU-2500257"	"Resolution of Sister Chromatid Cohesion"	7.31548464460303e-10	2.29413598454751e-07	-2.32086206245523	-0.537874374529032	114	"Nde1, Pds5b, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Tuba1c, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Cdk1, Incenp, Cdca5, Wapl, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Ccnb2, Xpo1, Ndc80, Cenpi, Zw10, Ccnb1, Cenpo, Zwilch, Nup107, Tubb4a, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-9648025"	"EML4 and NUDC in mitotic spindle formation"	1.58338959534186e-09	4.13792480916006e-07	-2.31086474654365	-0.541164909146156	103	"Nde1, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Tuba1c, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Xpo1, Ndc80, Cenpi, Zw10, Cenpo, Zwilch, Nup107, Tubb4a, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-68882"	"Mitotic Anaphase"	4.50656201831418e-09	8.8328615558958e-07	-2.06298860890762	-0.432664419152045	213	"Nde1, Pds5b, Taok1, Nup37, Psma6, Psmb7, Nup93, Psmd8, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Psmd9, Vrk1, Tuba1c, Anapc7, Ube2s, Anapc4, Sgo1, Ppp1cc, Psme3, Spast, Cenpp, Chmp7, Rcc1, Cenpk, Ppp2cb, Ska1, Psma1, Lbr, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Ndc1, Psmd10, Psmd7, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Cdk1, Kpnb1, Incenp, Cdca5, Nup155, Psma4, Wapl, Psmd13, Anapc1, Bub3, Ppp2r1b, Psmc6, Ppp2r2a, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Psmc4, Psme4, Lmnb1, Ankle2, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Ccnb2, Xpo1, Ndc80, Cenpi, Zw10, Psmd14, Ccnb1, Psma3, Psmd1, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Tubb4a, Mad2l1, Psmd12, Cdc20, Cenpu, Psmd6, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-2555396"	"Mitotic Metaphase and Anaphase"	4.04636596844578e-09	8.8328615558958e-07	-2.06240306615813	-0.431492790532832	214	"Nde1, Pds5b, Taok1, Nup37, Psma6, Psmb7, Nup93, Psmd8, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Psmd9, Vrk1, Tuba1c, Anapc7, Ube2s, Anapc4, Sgo1, Ppp1cc, Psme3, Spast, Cenpp, Chmp7, Rcc1, Cenpk, Ppp2cb, Ska1, Psma1, Lbr, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Ndc1, Psmd10, Psmd7, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Cdk1, Kpnb1, Incenp, Cdca5, Nup155, Psma4, Wapl, Psmd13, Anapc1, Bub3, Ppp2r1b, Psmc6, Ppp2r2a, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Psmc4, Psme4, Lmnb1, Ankle2, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Ccnb2, Xpo1, Ndc80, Cenpi, Zw10, Psmd14, Ccnb1, Psma3, Psmd1, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Tubb4a, Mad2l1, Psmd12, Cdc20, Cenpu, Psmd6, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-69618"	"Mitotic Spindle Checkpoint"	6.37096471260251e-09	1.10996362992897e-06	-2.2670958396377	-0.532785772268322	104	"Nde1, Taok1, Nup37, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Anapc7, Ube2s, Anapc4, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Anapc1, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Mapre1, Cdca8, Ppp2r5a, Cenpa, Xpo1, Ndc80, Cenpi, Zw10, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Mad2l1, Cdc20, Cenpu, Ercc6l, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-141424"	"Amplification of signal from the kinetochores"	1.07627307252481e-08	1.53417834338082e-06	-2.26677912593119	-0.555792911245741	87	"Cenpq, Nde1, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Mapre1, Cdca8, Ppp2r5a, Cenpa, Xpo1, Ndc80, Cenpi, Zw10, Cenpo, Zwilch, Nup107, Mad2l1, Cdc20, Cenpu, Ercc6l, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
