"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:1903131"	"mononuclear cell differentiation"	4.04538953240433e-06	0.00354261445734216	1
"GO:0002695"	"negative regulation of leukocyte activation"	7.6431811377393e-06	0.00354261445734216	1
"GO:0050866"	"negative regulation of cell activation"	1.28774205723342e-05	0.00397912295685127	1
"GO:0002274"	"myeloid leukocyte activation"	2.98090162236853e-05	0.00578011876488453	1
"GO:0035754"	"B cell chemotaxis"	3.73263841729937e-05	0.00578011876488453	1
"GO:0034341"	"response to interferon-gamma"	3.74117719410002e-05	0.00578011876488453	1
"GO:0030217"	"T cell differentiation"	5.26042844387254e-05	0.00628127322346286	1
"GO:0048247"	"lymphocyte chemotaxis"	5.42073201593343e-05	0.00628127322346286	1
"GO:1990845"	"adaptive thermogenesis"	7.12343605311089e-05	0.00733713913470422	1
"GO:0051250"	"negative regulation of lymphocyte activation"	8.18747610666669e-05	0.00758979035088002	1
"GO:0019221"	"cytokine-mediated signaling pathway"	0.000248680749193511	0.0209570049547622	1
"GO:0030098"	"lymphocyte differentiation"	0.000327539606012986	0.0235964792818478	1
"GO:0002683"	"negative regulation of immune system process"	0.000330910712690422	0.0235964792818478	1
"GO:0072676"	"lymphocyte migration"	0.000424200283938811	0.0280881188008056	1
"GO:0043011"	"myeloid dendritic cell differentiation"	0.000483491577649404	0.0298797794987331	1
"GO:0032703"	"negative regulation of interleukin-2 production"	0.000613300232923736	0.0355330822450189	1
"GO:0032369"	"negative regulation of lipid transport"	0.000758126585042197	0.0390488804555593	1
"GO:0050868"	"negative regulation of T cell activation"	0.000778068094079828	0.0390488804555593	1
"GO:0046597"	"negative regulation of viral entry into host cell"	0.000809718947227778	0.0390488804555593	1
"GO:0060326"	"cell chemotaxis"	0.000842478542730513	0.0390488804555593	1
"GO:0043588"	"skin development"	0.000924927344242391	0.0408289356244141	1
"GO:1903901"	"negative regulation of viral life cycle"	0.000974385992526203	0.0410570825032632	1
"GO:1903038"	"negative regulation of leukocyte cell-cell adhesion"	0.00103916967643297	0.0418830560892766	1
"GO:0045589"	"regulation of regulatory T cell differentiation"	0.00121685739505846	0.0456917801772445	1
"GO:0050727"	"regulation of inflammatory response"	0.00127173209490347	0.0456917801772445	1
"GO:0001773"	"myeloid dendritic cell activation"	0.00128153860259801	0.0456917801772445	1
"GO:0008544"	"epidermis development"	0.00140994046605615	0.0484079560012611	1
"GO:0045066"	"regulatory T cell differentiation"	0.00148526583476089	0.0491729081722623	1
"GO:0097028"	"dendritic cell differentiation"	0.00162911108691904	0.0520753785370327	1
"GO:1901214"	"regulation of neuron death"	0.00190488268494079	0.0582096380425548	1
"GO:0071674"	"mononuclear cell migration"	0.0019466006249398	0.0582096380425548	1
"GO:0045581"	"negative regulation of T cell differentiation"	0.00226797574615745	0.0618356916672929	1
"GO:0046596"	"regulation of viral entry into host cell"	0.00226797574615745	0.0618356916672929	1
"GO:1905953"	"negative regulation of lipid localization"	0.00226797574615745	0.0618356916672929	1
"GO:0019722"	"calcium-mediated signaling"	0.00236543438642578	0.0622518704029812	1
"GO:0002673"	"regulation of acute inflammatory response"	0.00244339483970157	0.0622518704029812	1
"GO:0050732"	"negative regulation of peptidyl-tyrosine phosphorylation"	0.0027181651585799	0.0622518704029812	1
"GO:0052372"	"modulation by symbiont of entry into host"	0.0027181651585799	0.0622518704029812	1
"GO:0022408"	"negative regulation of cell-cell adhesion"	0.00279813623278198	0.0622518704029812	1
"GO:0070997"	"neuron death"	0.0028445370993764	0.0622518704029812	1
"GO:0030099"	"myeloid cell differentiation"	0.00286792133879965	0.0622518704029812	1
"GO:0045620"	"negative regulation of lymphocyte differentiation"	0.00310608299647895	0.0622518704029812	1
"GO:0070098"	"chemokine-mediated signaling pathway"	0.00320688455015704	0.0622518704029812	1
"GO:0022407"	"regulation of cell-cell adhesion"	0.00360492513110243	0.0622518704029812	1
"GO:0030595"	"leukocyte chemotaxis"	0.00362207928701743	0.0622518704029812	1
"GO:0032663"	"regulation of interleukin-2 production"	0.00373362032554569	0.0622518704029812	1
"GO:0043903"	"regulation of biological process involved in symbiotic interaction"	0.00373362032554569	0.0622518704029812	1
"GO:0009913"	"epidermal cell differentiation"	0.0040363005305236	0.0622518704029812	1
"GO:0002884"	"negative regulation of hypersensitivity"	0.00405517320413817	0.0622518704029812	1
"GO:0021538"	"epithalamus development"	0.00405517320413817	0.0622518704029812	1
"GO:0021986"	"habenula development"	0.00405517320413817	0.0622518704029812	1
"GO:0034758"	"positive regulation of iron ion transport"	0.00405517320413817	0.0622518704029812	1
"GO:0034761"	"positive regulation of iron ion transmembrane transport"	0.00405517320413817	0.0622518704029812	1
"GO:0043605"	"cellular amide catabolic process"	0.00405517320413817	0.0622518704029812	1
"GO:0055011"	"atrial cardiac muscle cell differentiation"	0.00405517320413817	0.0622518704029812	1
"GO:0055014"	"atrial cardiac muscle cell development"	0.00405517320413817	0.0622518704029812	1
"GO:0090182"	"regulation of secretion of lysosomal enzymes"	0.00405517320413817	0.0622518704029812	1
"GO:1900139"	"negative regulation of arachidonic acid secretion"	0.00405517320413817	0.0622518704029812	1
"GO:1904440"	"positive regulation of iron ion import across plasma membrane"	0.00405517320413817	0.0622518704029812	1
"GO:1905956"	"positive regulation of endothelial tube morphogenesis"	0.00405517320413817	0.0622518704029812	1
"GO:0002449"	"lymphocyte mediated immunity"	0.00418248870974376	0.0622518704029812	1
"GO:0002573"	"myeloid leukocyte differentiation"	0.00427839494505824	0.0622518704029812	1
"GO:1990868"	"response to chemokine"	0.00429786376029212	0.0622518704029812	1
