"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0700003663.mm.2";2,20870912196092;2,02468114667967;2,15090998757776;2,19182964791784;2,31818848596978;2,11908299775459;1,93210116344397;2,00327369549919;2,26646584694343;1,98934555547505;1,97100540708628
"TC1000000764.mm.2";3,18185897702418;3,13524845750901;3,00228815080389;3,92299680056057;2,93645027766881;3,40157321426066;2,86973741835652;3,07527464536704;2,93986818415555;3,36350759541025;3,15908664643027
"TC0400003936.mm.2";1,66425332771873;1,49969078138451;1,3794588963509;1,60789454480137;1,68297123938768;1,73679156666942;1,78693525017067;1,66710294990296;1,43696326079632;1,62180059313646;1,419273790569
"TC0400003746.mm.2";8,79613580066214;9,10901917509212;9,24837600811473;9,62473015984071;9,23128669309159;9,10569830986817;8,97851746980437;9,14298018982537;9,23840224086652;8,96522090915138;9,31762969763712
"TC0400000271.mm.2";8,10655510019249;8,47919911058953;8,2766928268042;8,18089066830638;8,30181562323585;8,45742125616482;8,35722483439039;8,29825711783273;8,50840758014592;8,07851697412343;8,22734328255254
"TC0100001634.mm.2";6,10647223417913;6,95446459861426;6,11362326929338;5,35933355167223;6,97327685964698;7,24245038461983;6,32144503623222;6,38140961699415;6,85888691765333;6,7882973231066;6,32787813873022
"TC1100001264.mm.2";7,99079537800462;7,78324164152334;7,38083607600985;7,18400863534478;7,46889121494857;8,37601185796161;8,09266708238797;7,88513419762235;8,72502636216229;8,84902895778989;8,15230416381204
"TC0200004491.mm.2";8,28531323009889;8,51119959676637;8,52060983440431;8,4543983823019;8,22683251429493;8,53865821319842;8,2577854734152;8,20142450302206;8,2489177911633;8,67465568247709;8,4732526702912
"TC1300000234.mm.2";2,79389538625476;2,29577012489107;2,37756679720488;2,35817593806298;2,43390203386509;2,42299079605364;2,3325423155384;1,99656329002438;2,52463405290109;2,60597779500605;2,33373178681708
"TC0200002788.mm.2";2,91462415612763;3,55708504223871;3,09314496850759;3,01713914197743;3,02427815710067;4,09616350586641;2,58202096707995;2,66085123664097;2,93022648772465;2,83050342654605;2,59463751283838
"TC0900000594.mm.2";6,27242235699149;6,39273481533399;6,45364412207549;6,53607332404684;6,09044653357573;6,36247404656968;6,10264464332734;6,47388417490703;6,28360710309432;6,14796947762771;6,38749658825838
"TC1100003988.mm.2";3,37177456237207;4,85822095391532;4,81672571522033;4,86912304437936;4,41328431303753;4,45627954946776;4,90219760781148;4,24025073516646;4,40026355874473;4,16352401426742;4,59687163695423
"TC1400001290.mm.2";9,6271510143058;9,52325743335818;9,2831299804211;9,42914116800203;9,33857715305681;9,36169361674565;9,31214209205947;9,56295064285514;9,3531172303361;9,73894079839457;9,39669870896292
"TC0800003229.mm.2";3,10734313188066;3,12154698992485;3,68715595240557;3,55322719417087;2,96291729457613;3,24238421987239;3,15116271727462;3,3309652799923;3,24598251926256;3,39753453142452;3,24474020175479
"TC1700001394.mm.2";7,3211927680184;7,26801890320921;7,28826763724762;7,32023776856013;7,26019511119947;7,24335313851682;6,95442119681471;7,49404935172437;7,12923320481616;7,19374378059752;7,19797969520222
"TC0700001070.mm.2";10,0928733314312;10,2821881617753;10,3216263927411;10,0644618708451;10,4653395339582;10,3308527409215;10,3620974123535;10,4119195708527;10,4283329439414;10,2686316018877;10,5138485945102
